,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,NO,Lampu LED 8 Watt,,,,Lampu LED 12 Watt x 3 (36 Watt),,,,Panci Listrik 150 Watt,,,
,,,UNI-T UT202A+,,PZEM-004T,,UNI-T UT202A+,,PZEM-004T,,UNI-T UT202A+,,PZEM-004T,
,,,V,I,V,I,V,I,V,I,V,I,V,I
,,1,"218,9","0,042","218,8","0,048","213,7","0,189","213,7","0,234","207,9","1,505","207,4","1,019"
,,2,"219,2","0,042","219,2","0,048","212,7","0,188","212,6","0,233","207,6","1,503","208,6","1,047"
,,3,"216,7","0,042","216,6","0,05","212,6","0,187","212,7","0,231",207,"1,494","207,6","1,032"
,,4,"217,6","0,042","217,7","0,05","212,6","0,187","212,6","0,231","206,7","1,486","207,1","1,039"
,,5,"215,4","0,041","215,3","0,05","212,6","0,185","212,3","0,231",205,"1,479","206,1","1,013"
,,6,"213,5",0.04,"213,5","0,046","212,9","0,184",213,"0,23",207,"1,496","207,6","1,036"
,,7,214,"0,04","213,6","0,046","212,8","0,185","213,1","0,23","206,3","1,492","207,2","1,009"
,,8,"214,2","0,04","214,2","0,046","211,9","0,184","211,7","0,23","206,8","1,487","207,2","1,014"
,,9,"214,1","0,04","213,8","0,046","211,6","0,184","211,4","0,23",297,"1,492","207,5","1,014"
,,10,"214,1","0,04","214,3","0,046",213.1,"0,183","211,9","0,229","206,6","1,483","207,6","1,034"
,,11,"214,8","0,04","214,9","0,046","213,5","0,182","213,4","0,228","205,3","1,473","205,7","1,034"
,,12,"214,3","0,04","214,4","0,046","212,7","0,183","212,8","0,228","204,6","1,472","205,1","1,004"
,,13,"215,7","0,04","215,5","0,046","213,1","0,183","213,1","0,228","206,6","1,487","207,3","1,042"
,,14,"215,9","0,04",216,"0,046","213,7","0,182","213,7","0,226","206,6","1,485","206,9","1,011"
,,15,216,"0,04","216,2","0,046","213,6","0,182","213,5","0,226","206,3","1,486","206,8","1,021"
,,16,"216,2","0,04","216,2","0,046","213,3","0,182","213,2","0,226","206,2","1,479","206,6","1,014"
,,17,"216,1","0,04","216,2","0,046","212,2","0,183","212,3","0,229","205,5","1,481","206,4","1,039"
,,18,"216,2","0,04","215,9","0,046","212,8","0,182","212,6","0,228","205,6","1,483","206,7","1,023"
,,19,"215,8","0,04","215,9","0,046","211,9","0,183","212,2","0,228","205,2","1,475","205,9","1,039"
,,20,"215,6","0,04","215,5","0,046",212,"0,183","212,2","0,228","205,6","1,476","206,4","1,023"
,,21,"215,8","0,04","215,8","0,046","212,1","0,182","212,1","0,228","205,5","1,484","206,3","1,036"
,,22,"215,6","0,04","215,5","0,046","212,9","0,183",213,"0,228","205,6","1,482","206,2","1,008"
,,23,"216,9","0,04","216,8","0,046",213,"0,183","212,7","0,228","206,5","1,477","207,5","1,042"
,,24,"217,1","0,04","217,3","0,046",213,"0,183",213,"0,228","204,3","1,466",205,"1,023"
,,25,"214,9","0,04",215,"0,046","214,1","0,182","214,1","0,226","203,5","1,466","204,7","1,036"
,,26,"215,1","0,04","215,1","0,046","214,6","0,182","214,4","0,225","204,3","1,466",205,"1,034"
,,27,"215,1","0,04","215,3","0,046","214,2","0,182","213,9","0,226","203,7","1,467","204,4","1,014"
,,28,"215,7","0,04","215,7","0,046","214,1","0,182","213,8","0,226","203,6","1,455","204,4","1,006"
,,29,"213,8","0,04","213,7","0,046","213,8","0,182","213,8","0,226","203,3","1,44","203,9","1,031"
,,30,214,"0,04","214,2","0,46","214,8","0,182","214,8","0,226","204,2","1,447","205,4","1,024"
