time,temperature
1732035600,21.3
1732039200,20.7
1732042800,20.3
1732046400,19.8
1732050000,19.7
1732053600,19.3
1732057200,20.0
1732060800,22.5
1732064400,25.4
1732068000,27.0
1732071600,28.3
1732075200,28.9
1732078800,29.3
1732082400,26.3
1732086000,25.8
1732089600,25.4
1732093200,25.5
1732096800,23.9
1732100400,23.1
1732104000,22.5
1732107600,22.1
1732111200,22.0
1732114800,21.9
1732118400,21.5
1732122000,21.7
1732125600,21.7
1732129200,21.6
1732132800,21.2
1732136400,21.2
1732140000,20.9
1732143600,21.8
1732147200,23.3
1732150800,25.4
1732154400,27.1
1732158000,27.9
1732161600,28.1
1732165200,27.0
1732168800,26.0
1732172400,25.2
1732176000,25.0
1732179600,24.8
1732183200,23.6
1732186800,22.5
1732190400,22.0
1732194000,22.9
1732197600,22.1
1732201200,22.0
1732204800,22.0
1732208400,21.9
1732212000,21.8
1732215600,21.7
1732219200,21.6
1732222800,21.2
1732226400,20.4
1732230000,20.6
1732233600,22.5
1732237200,24.3
1732240800,26.4
1732244400,27.7
1732248000,28.0
1732251600,27.4
1732255200,26.1
1732258800,25.2
1732262400,24.7
1732266000,24.9
1732269600,24.3
1732273200,23.3
1732276800,22.9
1732280400,22.2
1732284000,22.3
1732287600,22.2
1732291200,21.7
1732294800,21.5
1732298400,21.3
1732302000,21.4
1732305600,20.9
1732309200,20.5
1732312800,20.0
1732316400,20.5
1732320000,22.9
1732323600,24.1
1732327200,26.1
1732330800,27.1
1732334400,27.5
1732338000,25.8
1732341600,25.0
1732345200,23.9
1732348800,23.3
1732352400,23.8
1732356000,23.8
1732359600,23.0
1732363200,22.7
1732366800,22.9
1732370400,22.5
1732374000,22.2
1732377600,22.1
1732381200,22.1
1732384800,21.9
1732388400,21.6
1732392000,21.6
1732395600,21.4
1732399200,21.1
1732402800,21.7
1732406400,23.3
1732410000,25.3
1732413600,27.0
1732417200,27.6
1732420800,28.0
1732424400,26.5
1732428000,25.4
1732431600,24.0
1732435200,23.6
1732438800,23.2
1732442400,22.5
1732446000,22.1
1732449600,21.7
1732453200,22.3
1732456800,22.4
1732460400,22.5
1732464000,22.4
1732467600,22.4
1732471200,22.2
1732474800,21.9
1732478400,21.8
1732482000,21.1
1732485600,21.0
1732489200,21.5
1732492800,23.1
1732496400,24.4
1732500000,26.0
1732503600,28.0
1732507200,28.3
1732510800,26.6
1732514400,26.3
1732518000,25.8
1732521600,25.1
1732525200,25.0
1732528800,24.6
1732532400,23.7
1732536000,23.5
1732539600,23.6
1732543200,23.3
1732546800,22.9
1732550400,22.5
1732554000,22.0
1732557600,21.8
1732561200,21.5
1732564800,20.7
1732568400,20.5
1732572000,20.0
1732575600,20.8
1732579200,23.1
1732582800,25.0
1732586400,26.8
1732590000,27.6
1732593600,27.6
1732597200,28.3
1732600800,27.7
1732604400,25.8
1732608000,23.7
1732611600,24.3
1732615200,24.4
1732618800,23.6
1732622400,23.4
1732626000,23.9
1732629600,23.6
1732633200,22.9
1732636800,22.4
1732640400,22.3
1732644000,21.8
1732647600,21.3
1732651200,20.8
1732654800,20.4
1732658400,20.2
1732662000,20.8
1732665600,22.9
1732669200,25.5
1732672800,26.7
1732676400,28.2
1732680000,29.2
1732683600,25.4
1732687200,24.6
1732690800,25.0
1732694400,24.8
1732698000,24.2
1732701600,23.8
1732705200,23.2
1732708800,22.8
1732712400,22.3
1732716000,22.3
1732719600,22.2
1732723200,22.1
1732726800,21.9
1732730400,21.7
1732734000,21.5
1732737600,21.7
1732741200,21.6
1732744800,21.4
1732748400,21.8
1732752000,23.3
1732755600,25.6
1732759200,26.8
1732762800,27.9
1732766400,28.7
1732770000,28.2
1732773600,28.5
1732777200,25.6
1732780800,25.6
1732784400,24.8
1732788000,24.6
1732791600,23.6
1732795200,22.9
1732798800,22.1
1732802400,22.4
1732806000,22.4
1732809600,21.9
1732813200,21.9
1732816800,21.2
