,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5192750453948974,0.05685122705944411,0.00852651596069336,0.0014331813168899415,0.1,3,1000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",-0.3165620832742401,-0.22131538063135578,-0.2842084653521526,-0.32860568000772605,-0.24850147205913087,-0.2798386162649211,0.04038049239997161,18
1,1.0814745903015137,0.0620285225490832,0.011379194259643555,0.0013922411181376444,0.1,3,2000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 2000}",-0.327456784456657,-0.23841452719421383,-0.2851815953998845,-0.327870140685027,-0.26124023790537065,-0.2880326571282306,0.03557866779599059,25
2,1.4057058334350585,0.03979547377767296,0.014296388626098633,0.002264933899930554,0.1,3,3000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 3000}",-0.3305672950115126,-0.2451196895032816,-0.28736272569486815,-0.3277152875197357,-0.2666930383204684,-0.2914916072099733,0.03353039166391207,27
3,0.7590192794799805,0.05050206350748154,0.009278154373168946,0.0007537359786211344,0.1,5,1000,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000}",-0.3214620919664565,-0.26553367850142784,-0.2777264755348708,-0.2935343353380477,-0.2366062544313972,-0.27897256715443997,0.028264697902801544,17
4,1.6414397716522218,0.1733803773507353,0.01635003089904785,0.0035381244841859063,0.1,5,2000,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 2000}",-0.320248927689294,-0.2671992231458739,-0.28343244389637356,-0.29480247991334896,-0.23967434758001915,-0.28107148444498187,0.02696349012799314,20
5,2.589040517807007,0.20016497076186107,0.01961350440979004,0.0010890953699467113,0.1,5,3000,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 3000}",-0.3204719651317685,-0.26679243028359534,-0.2838868840766391,-0.2958084936718137,-0.24051624668682425,-0.28149520397012817,0.02692665891109427,21
6,1.3360369682312012,0.09114802326777413,0.012780237197875976,0.0004265312351546936,0.1,7,1000,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 1000}",-0.34964898365302555,-0.1858367949396688,-0.27835715230142805,-0.27959039564989563,-0.22701654114065678,-0.264089973536935,0.055248817250399665,5
7,3.2354214668273924,0.5347968008070861,0.02151341438293457,0.004117733952506546,0.1,7,2000,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 2000}",-0.34920624341583156,-0.1860594746935831,-0.27911113421174955,-0.27966179315183887,-0.22751240511735615,-0.2643102101180719,0.055026050144831966,6
8,4.243500137329102,0.09406173372815826,0.02456245422363281,0.0016962107236095294,0.1,7,3000,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 3000}",-0.3491539486390234,-0.18611896004061448,-0.2792004023319494,-0.27966704305507356,-0.22752548950095763,-0.26433316871352364,0.05499635393787827,7
9,0.5205749034881592,0.030769199186724636,0.007398080825805664,0.0007127794378470248,0.05,3,1000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",-0.32294223513185466,-0.22120674096910223,-0.28822946077039135,-0.32887638877176373,-0.23857998303981018,-0.2799669617365844,0.04352682073591386,19
10,1.0248202800750732,0.05216237486044357,0.010587358474731445,0.0022152715443102557,0.05,3,2000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 2000}",-0.32814401615449856,-0.2375031811755101,-0.279251216166786,-0.3266372097363497,-0.2566961685942285,-0.2856463583654746,0.036559752885212696,23
11,1.5291708946228026,0.15017586945686445,0.013454151153564454,0.0019355020688850077,0.05,3,3000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 3000}",-0.325261202797102,-0.2446709083537916,-0.28440466651797314,-0.33235900956929976,-0.26294556903775523,-0.2899282712551844,0.03422159823930653,26
12,0.7006808757781983,0.07092510543449167,0.008792829513549805,0.0010073630407743633,0.05,5,1000,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1000}",-0.3410331423791794,-0.25756140862766735,-0.27265967062963037,-0.2889632656296978,-0.2282298106291299,-0.277689459579061,0.03745988504995051,16
13,1.5239444732666017,0.07386005959314011,0.014266729354858398,0.001223477557872866,0.05,5,2000,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 2000}",-0.33185664310202495,-0.279370241134559,-0.2834687436881518,-0.2907553414936453,-0.23580524342220224,-0.2842512425681166,0.030594211137286668,22
14,2.5224239826202393,0.3227306965898888,0.02180008888244629,0.003506958910919538,0.05,5,3000,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 3000}",-0.33206058446337167,-0.2843400725318182,-0.28572121188485794,-0.29465762869076084,-0.24019456011238696,-0.28739481153663915,0.02928404304344355,24
15,1.468718671798706,0.0794406305551651,0.012807321548461915,0.0012264427221623396,0.05,7,1000,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 1000}",-0.3486655617763665,-0.20742005613535197,-0.2713972497412399,-0.2724669002731888,-0.2263638371244722,-0.2652627210101239,0.048794392171336784,8
16,2.775887393951416,0.18953213126137025,0.020467853546142577,0.002285070303906767,0.05,7,2000,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 2000}",-0.3487989873511104,-0.20931196592534895,-0.27303159736471994,-0.27422333601905197,-0.2288945025902649,-0.26685207785009923,0.048082137816679124,9
17,4.411363363265991,0.28064991270905454,0.027838373184204103,0.006102755893421963,0.05,7,3000,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 3000}",-0.34880202043734926,-0.2095492349296602,-0.2733682998076709,-0.27443417988840957,-0.22950171541931327,-0.2671310900964806,0.047945841636748206,10
18,0.4034595966339111,0.0275134325462054,0.006797933578491211,0.0005353397195999317,0.01,3,1000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",-0.35987027576844943,-0.17923452903536674,-0.2866204616772324,-0.2985226188003759,-0.1952801924653824,-0.2639056155493614,0.06753096881368445,4
19,0.8857279300689698,0.09589430715924609,0.009790468215942382,0.0007962895776602416,0.01,3,2000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 2000}",-0.32049048057053525,-0.1835640807609139,-0.2873062073752114,-0.3117248949530876,-0.20744377163244881,-0.2621058870584394,0.055968964699040245,3
20,1.4985878467559814,0.07796776037646067,0.012944459915161133,0.0008696930169569783,0.01,3,3000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 3000}",-0.3190841471165538,-0.20708009506361716,-0.2880558209444557,-0.31684951838416325,-0.22102079173241648,-0.2704180746482413,0.04751241288049063,13
21,0.9224908351898193,0.08230998926755638,0.01103658676147461,0.0010312832544106634,0.01,5,1000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",-0.3475287261831893,-0.20334910439401002,-0.27448452848213994,-0.28185505992069115,-0.2024027098881161,-0.26192402577362933,0.054510522914468534,1
22,1.5432949542999268,0.03223870206188399,0.013671207427978515,0.0013814798428509805,0.01,5,2000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 2000}",-0.35038071519495656,-0.25375558275406185,-0.2770319668220241,-0.28371237034991514,-0.21430494233965441,-0.27583711549212236,0.04448370035498278,14
23,2.268913984298706,0.17378095313908973,0.016933917999267578,0.0008873503278149174,0.01,5,3000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 3000}",-0.3427618234702551,-0.26412998361355655,-0.27490414216757725,-0.2829727756637095,-0.22016288974897907,-0.2769863229328155,0.0393974049487499,15
24,1.5501237392425538,0.062395046000444286,0.014350366592407227,0.002407116847064538,0.01,7,1000,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 1000}",-0.3607451905112136,-0.1915815422526545,-0.27479042349653404,-0.2720152290868193,-0.2107518832768327,-0.26197685372481083,0.0593289783772042,2
25,2.8552432537078856,0.11560876496471163,0.020226812362670897,0.004171976051986173,0.01,7,2000,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 2000}",-0.35951977202473107,-0.20787980120415797,-0.27552417245102645,-0.2741599168561942,-0.21933940825645787,-0.2672846141585135,0.053759016035971136,11
26,4.367363023757934,0.46524749268135,0.028676271438598633,0.0047967141756474025,0.01,7,3000,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 3000}",-0.3583903541371421,-0.20945197670069235,-0.27641474743109784,-0.2753135809133488,-0.22350119192718076,-0.2686143702218924,0.052346614521768954,12
